room_count,bathroom_count,size,price,city,region
2.0,2.0,113.0,170.0,Ariana,Ariana Ville
3.0,2.0,138.0,340.0,Ariana,Jardins D'el Menzah
2.0,1.0,80.0,230.0,Ariana,Ennasr
4.0,2.0,200.0,440.0,Ariana,Ennasr
4.0,1.0,160.0,310.0,Ariana,Autres villes
2.0,1.0,89.0,136.0,Ariana,Borj Louzir
2.0,1.0,94.0,185.0,Ariana,La Soukra
1.0,1.0,79.0,146.15,Ariana,Ghazela
3.0,1.0,157.0,340.0,Ariana,Ennasr
2.0,1.0,105.0,225.0,Ariana,La Soukra
3.0,1.0,130.0,320.0,Ariana,Ennasr
2.0,1.0,120.0,270.0,Ariana,Ennasr
3.0,2.0,100.0,170.0,Ariana,Borj Louzir
2.0,1.0,74.0,180.0,Ariana,Ennasr
2.0,1.0,90.0,205.0,Ariana,Ariana
3.0,2.0,151.0,225.0,Ariana,Jardins D'el Menzah
4.0,2.0,145.0,410.0,Ariana,Ennasr
4.0,1.0,126.0,250.0,Ariana,Ennasr
1.0,1.0,64.0,155.0,Ariana,Autres villes
2.0,1.0,105.0,230.0,Ariana,Jardins D'el Menzah
3.0,1.0,163.0,340.0,Ariana,Borj Louzir
3.0,1.0,76.0,115.0,Ariana,Chotrana
4.0,3.0,370.0,1100.0,Ariana,La Soukra
3.0,2.0,143.0,360.0,Ariana,La Soukra
4.0,2.0,200.0,360.0,Ariana,Ennasr
3.0,1.0,150.0,350.0,Ariana,Ennasr
2.0,1.0,130.0,300.0,Ariana,Ennasr
4.0,2.0,120.0,200.0,Ariana,Autres villes
1.0,1.0,56.0,158.0,Ariana,Jardins D'el Menzah
2.0,2.0,136.0,300.0,Ariana,Ennasr
3.0,2.0,140.0,275.0,Ariana,Jardins D'el Menzah
3.0,1.0,110.0,150.0,Ariana,Raoued
2.0,1.0,100.0,230.0,Ariana,Jardins D'el Menzah
2.0,1.0,120.0,240.0,Ariana,Ennasr
2.0,1.0,126.0,330.0,Ariana,Ennasr
3.0,3.0,278.0,750.0,Ariana,La Soukra
2.0,2.0,186.0,470.0,Ariana,La Soukra
3.0,3.0,188.0,650.0,Ariana,La Soukra
1.0,1.0,87.0,243.0,Ariana,Ennasr
3.0,3.0,165.0,650.0,Ariana,La Soukra
4.0,2.0,130.0,285.0,Ariana,Jardins D'el Menzah
1.0,1.0,60.0,180.0,Ariana,Ennasr
1.0,1.0,75.0,190.0,Ariana,Ennasr
4.0,1.0,100.0,400.0,Ariana,Autres villes
3.0,2.0,138.0,295.0,Ariana,Ariana Ville
1.0,1.0,72.0,160.0,Ariana,Chotrana
2.0,1.0,62.0,109.0,Ariana,Chotrana
3.0,1.0,85.0,150.0,Ariana,Borj Louzir
2.0,1.0,52.0,85.0,Ariana,Ariana
3.0,2.0,120.0,245.0,Ariana,Ariana
3.0,2.0,153.0,339.0,Ariana,Ariana
2.0,1.0,115.0,168.0,Ariana,Ghazela
3.0,1.0,100.0,125.0,Ariana,Raoued
2.0,1.0,70.0,230.0,Ariana,Ariana
3.0,2.0,125.0,210.0,Ariana,Ghazela
4.0,2.0,157.0,441.0,Ariana,Ennasr
3.0,2.0,187.0,570.0,Ariana,La Soukra
1.0,1.0,57.0,145.0,Ariana,Jardins D'el Menzah
2.0,2.0,126.0,330.0,Ariana,Jardins D'el Menzah
3.0,2.0,163.0,340.0,Ariana,Ennasr
2.0,1.0,105.0,220.0,Ariana,Ennasr
4.0,1.0,153.0,360.0,Ariana,Ariana
2.0,1.0,120.0,230.0,Ariana,Jardins D'el Menzah
2.0,1.0,100.0,90.0,Ariana,Borj Louzir
3.0,2.0,140.0,290.0,Ariana,La Soukra
4.0,2.0,170.0,295.0,Ariana,Ennasr
3.0,1.0,76.0,120.0,Ariana,Ariana
3.0,1.0,160.0,310.0,Ariana,Ennasr
4.0,1.0,130.0,95.0,Ariana,Borj Louzir
2.0,2.0,100.0,310.0,Ariana,La Soukra
2.0,1.0,72.0,160.0,Ariana,Chotrana
3.0,1.0,110.0,220.0,Ariana,Borj Louzir
3.0,1.0,170.0,350.0,Ariana,Ennasr
2.0,1.0,120.0,280.0,Ariana,La Soukra
3.0,2.0,155.0,300.0,Ariana,La Soukra
3.0,2.0,175.0,440.0,Ariana,Autres villes
2.0,2.0,140.0,240.0,Ariana,La Soukra
4.0,1.0,100.0,170.0,Ariana,Borj Louzir
4.0,3.0,174.0,500.0,Ariana,La Soukra
2.0,1.0,107.0,220.0,Ariana,La Soukra
2.0,2.0,122.0,268.0,Ariana,La Soukra
2.0,2.0,115.0,310.0,Ariana,La Soukra
3.0,2.0,200.0,355.0,Ariana,Ennasr
2.0,1.0,90.0,135.0,Ariana,Borj Louzir
3.0,3.0,187.0,465.0,Ariana,Ennasr
3.0,3.0,191.0,370.0,Ariana,Ennasr
3.0,2.0,169.0,410.0,Ariana,Ennasr
2.0,2.0,124.0,284.0,Ariana,Chotrana
2.0,1.0,60.0,180.0,Ariana,Ennasr
2.0,1.0,90.0,160.0,Ariana,Borj Louzir
1.0,1.0,58.0,109.0,Ariana,Chotrana
3.0,1.0,160.0,350.0,Ariana,Ennasr
3.0,1.0,140.0,300.0,Ariana,Ennasr
3.0,2.0,200.0,550.0,Ariana,La Soukra
3.0,1.0,70.0,110.0,Ariana,Borj Louzir
3.0,1.0,150.0,320.0,Ariana,Ennasr
2.0,1.0,143.0,360.0,Ariana,La Soukra
3.0,1.0,121.0,167.5,Ariana,La Soukra
3.0,2.0,140.0,280.0,Ariana,Jardins D'el Menzah
3.0,2.0,170.0,430.0,Ariana,Ennasr
1.0,1.0,45.0,80.0,Ariana,La Soukra
3.0,1.0,98.0,130.0,Ariana,Ariana
4.0,2.0,165.0,310.0,Ariana,Autres villes
3.0,1.0,75.0,130.0,Ariana,Borj Louzir
2.0,1.0,95.0,220.0,Ariana,La Soukra
2.0,1.0,126.0,330.0,Ariana,Jardins D'el Menzah
2.0,1.0,100.0,223.0,Ariana,La Soukra
