room_count,bathroom_count,size,price,city,region
1.0,1.0,55.0,184.998,Tunis,L Aouina
2.0,0.0,85.0,175.0,Ben Arous,Ezzahra
2.0,1.0,98.0,148.0,Ariana,Ghazela
3.0,2.0,100.0,330.0,Ben Arous,Mgrine
3.0,2.0,170.0,740.0,Tunis,Ain Zaghouan Nord
1.0,0.0,62.0,185.0,Tunis,L Aouina
3.0,2.0,160.0,450.0,Tunis,La Marsa
3.0,2.0,170.0,740.0,Tunis,Ain Zaghouan Nord
3.0,2.0,105.0,175.0,Tunis,Tunis
3.0,2.0,158.0,395.0,Ariana,Chotrana 1
2.0,1.0,120.0,274.997,Ariana,Cit Ennasr 2
3.0,1.0,111.0,140.0,Tunis,Bab Souika
2.0,1.0,125.0,250.0,Tunis,Tunis
2.0,1.0,100.0,160.0,Ben Arous,Borj Cedria
1.0,1.0,60.0,78.0,Ben Arous,El Mourouj 5
4.0,3.0,207.0,470.0,Ariana,El Menzah 7
2.0,1.0,90.0,220.0,Tunis,L Aouina
1.0,0.0,112.0,570.0,Tunis,Jardins De Carthage
3.0,2.0,100.0,120.0,Tunis,El Omrane Suprieur
2.0,0.0,126.0,370.0,Ariana,La Soukra
4.0,0.0,218.0,1100.0,Tunis,Ain Zaghouan Nord
3.0,0.0,160.0,580.0,Ariana,La Soukra
3.0,0.0,140.0,625.0,Ariana,Chotrana 1
1.0,1.0,96.0,480.0,Ariana,Chotrana 1
4.0,2.0,172.0,350.0,Tunis,L Aouina
3.0,2.0,142.0,330.0,Tunis,L Aouina
2.0,1.0,115.0,440.0,Ariana,Chotrana 1
3.0,3.0,364.0,1600.0,Tunis,Jardins De Carthage
3.0,2.0,221.0,800.0,Ariana,La Soukra
3.0,2.0,145.0,527.0,Ariana,Chotrana 1
3.0,2.0,143.0,295.0,Tunis,L Aouina
4.0,2.0,210.0,420.0,Tunis,L Aouina
3.0,2.0,127.0,220.0,Ariana,Ghazela
4.0,3.0,230.0,850.0,Tunis,Jardins De Carthage
4.0,3.0,240.0,620.0,Tunis,L Aouina
3.0,2.0,143.0,365.0,Tunis,L Aouina
2.0,3.0,150.0,285.0,Tunis,L Aouina
1.0,1.0,75.0,210.0,Tunis,L Aouina
1.0,1.0,78.0,188.0,Tunis,L Aouina
1.0,3.0,90.0,150.0,Tunis,Centre Ville Lafayette
3.0,2.0,140.0,695.0,Tunis,Jardins De Carthage
3.0,2.0,134.0,215.0,Ariana,Ghazela
1.0,1.0,68.0,180.0,Tunis,L Aouina
3.0,2.0,134.0,225.0,Ben Arous,Boumhel
3.0,2.0,150.0,370.0,Ben Arous,Boumhel
2.0,1.0,110.0,195.0,Ben Arous,Boumhel
2.0,1.0,112.0,570.0,Tunis,Jardins De Carthage
